record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
7255,27,110,1,27,27,27
1142,7,281,1,7,7,7
5324,9,457,1,9,9,9
3755,15,765,1,15,15,15
3966,12,27,1,12,12,12
1817,11,563,1,11,11,11
1803,12,91,1,12,12,12
3972,12,442,1,12,12,12
1195,9,55,2,9,93,51
401,11,1630,1,11,11,11
6822,4,42,1,4,4,4
3782,10,27,1,10,10,10
5495,67,389,1,67,67,67
4953,4,1290,1,4,4,4
367,15,51,2,15,27,21
373,1,74,2,1,30,15
6188,13,329,1,13,13,13
5481,8,56,3,8,34,23
4947,17,87,1,17,17,17
3796,14,2054,4,14,81,60
2488,9,76,1,9,9,9
415,6,104,1,6,6,6
1181,7,177,1,7,7,7
6836,20,31,2,20,56,38
4946,18,426,1,18,18,18
5480,6,1512,3,6,175,77
6189,4,125,1,4,4,4
372,5,336,1,5,5,5
6837,9,839,1,9,9,9
1180,10,1465,3,10,55,33
414,12,33,1,12,12,12
2489,9,159,3,9,26,19
3797,17,125,1,17,17,17
3783,5,49,1,5,5,5
6823,3,40,1,3,3,3
400,16,134,2,16,45,30
1194,11,83,2,11,24,17
366,1,295,1,1,1,1
4952,14,58,1,14,14,14
5494,4,52,1,4,4,4
1802,7,216,8,7,164,77
3973,13,31,1,13,13,13
428,12,525,1,12,12,12
3967,4,379,3,4,154,72
1816,16,245,1,16,16,16
7254,18,74,2,18,22,20
1625,2,147,1,2,2,2
4985,9,171,1,9,9,9
5443,10,424,1,10,10,10
3032,2,361,1,2,2,2
3754,4,88,1,4,4,4
5325,12,656,1,12,12,12
1143,7,220,1,7,7,7
1157,19,157,1,19,19,19
6638,4,166,5,4,71,46
3740,30,325,1,30,30,30
3998,4,214,1,4,4,4
5331,5,22,1,5,5,5
2338,16,14,1,16,16,16
4991,30,365,1,30,30,30
5457,15,160,2,15,18,16
4749,10,27,1,10,10,10
3026,10,1780,1,10,10,10
7240,7,182,1,7,7,7
1631,6,59,3,6,103,65
